,TYPE,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
185,FPHA,GAY MEN'S HEALTH CRIStaten IslandS,212-367-1409,307 WEST 38TH STREET,New York,10018,"WED,FRI/THUR",1-4PM/11AM-2PM
186,SKH,GAY MEN'S HEALTH CRIStaten IslandS (GMHC),212-367-1257,307 WEST 38TH STREET,New York,10018,MON-THUR/FRI,12-2:45/5-7:30PM
187,FP,"GENEStaten IslandS TRANStaten IslandTIONAL HOUStaten IslandNG MINISTRIES, INC",718-217-6530,195-12 HOLLIS AVENUE,Queens,11412,FRI,9AM-12PM
188,FP,GETHSEMANE BAPTIST CHURCH,(718) 294-7129,771 FAIRMOUNT PLACE,The Bronx,10460,THUR,8-10AM
189,FP,GETHSEMANE SDA CHURCH,718-467-4181,357 EMPIRE BLVD,Brooklyn,11225,SUN/WED,12-1PM/5-6PM
190,FP,GETHSEMANE SOUL SAVING STATION,(718) 949-8662,145-41 228TH STREET,Queens,11413,WED,1-2PM
191,FP,GIVE THEM TO EAT,718-993-8378,800 EAST 156TH STREET,The Bronx,10455,FRI,1:30-3:30PM
192,SK,GIVE THEM TO EAT,718-993-8378,800 EAST 156TH STREET,The Bronx,10455,TUE,1-3PM
193,FP,GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY,347-432-3065,2134 DEAN STREET,Brooklyn,11233,THUR,9-11AM
195,FP,GOD'S BATTALION OF PRAYER CHURCH,(718) 774-5447,661 LINDEN BOULEVARD,Brooklyn,11203,"TUE,THUR",9AM-12PM
196,FP,"GOD'S DELIVERANCE TEMPLE, INC",347-234-3828,438 RALPH AVENUE,Brooklyn,11233,TUE,11AM-12PM
197,FP,GOOD NEWS DELIVERANCE TABERNACLE,(718) 235-0065,442 CLEVELAND STREET,Brooklyn,11208,SAT,11AM-1PM
198,FP,GOOD SHEPHERD FOOD PANTRY,(212) 567-1300,104 COOPER ST. NEAR W. 207TH,New York,10034,SAT,7:30-9AM
199,FP,GOSPEL ASSEMBLY - QUEENS,718-454-0192,109-14 FARMERS BLVD,Queens,11412,SAT,10AM -12PM
200,SK,GRACE EPISCOPAL CHURCH,(718) 542-1946,1909 VYSE AVENUE,The Bronx,10460,"TUE,SAT",12-1:30PM
201,FP,GRACE EPISCOPAL CHURCH  (The Bronx),(718) 542-1946,1909 VYSE AVE,The Bronx,10460,THUR,9AM-12PM
202,SK,GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.,(212) 883-0680,120 EAST 32ND STREET,New York,10016,MON-SUN,6:30-7:30A/12-1:30P/4-6P
203,FP,GRAND CONCOURSE SDA CHURCH,718-681-2232,1275 GRAND CONCOURSE,The Bronx,10452,WED(CLOSED 5TH WE,1):30-4PM
204,FP,GREENPOINT REFORMED CHURCH FOOD PANTRY,718-383-5941,136 MILTON STREET,Brooklyn,11222,THUR,4-7PM
205,FP,GUTTMAN COMMUNITY COLLEGE CAMPUS PANTRY,646-313-8857,50 WEST 40TH STREET,New York,10018,"M,TUE,THU, F/W",8AM-5PM/9AM-5PM
206,FP,HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,(718) 399-7513,150 SOUTH PORTLAND AVENUE,Brooklyn,11217,THUR,3-5PM
207,FP,HARLEM COMMUNITY NUTRITIONAL SERVICES,(212) 666-7538,132 WEST 125TH STREET 5TH FL.,New York,10027,TUE-THUR,10-11:30AM
208,FP,HARLEM DOWLING WEST Staten IslandDE CENTER/SPECIALIZED SERV,2C1E2S-749-3656,2139 ADAM CLAYTON POWELL JR. BLVD @ 127TH STRE,NTY,10027,"TUE/FRI(2,3,4,5)",12-2PM
209,FP,HARVEST OF SOULS/HOLY GHOST,212-369-6354,13-15 EAST 125TH STREET,New York,10035,FRI,10AM-12PM
210,FP,HEALTH ESSENTIAL ASSOCIATION CPMM,646-515-6898,2336 86TH STREET,Brooklyn,11214,"THUR (1,3)",10AM-12PM
211,FP,HEALTH ESSENTIAL ASSOCIATION INC,646-515-6898,2101 EAST 16TH STREET - 2ND FLOOR,Brooklyn,11229,FRI,10AM-12PM
212,FP,HEAVENLY VIStaten IslandON CHRISTIAN CENTER,(718) 220-8124,2868 JEROME AVE,The Bronx,10468,TUE,9-11AM
213,FP,HEBREW EDUCATIONAL SOCIETY,718-241-3000,9502 SEAVIEW AVENUE,Brooklyn,11236,"TUE,THUR/WED",10AM-1PM/4-7PM
214,FP,HEBRON SDA CHURCH,(718) 778-6454,1256 DEAN STREET,Brooklyn,11216,"WED(1,3)",9-10:30AM
215,SK,HEBRON SDA CHURCH,(718) 778-6454,1256 DEAN STREET,Brooklyn,11216,SUN,12:30-2PM
216,FP,HOLDING HANDS MINISTRIES,718-238-4000,6324 7TH AVENUE,Brooklyn,11220,SAT,9AM-12:30PM
217,FP,HOLLIS AVENUE CONGREGATIONAL CHURCH,(718) 468-1498,"211-04 HOLLIS AVE., QUEENS VILLAGE",Queens,11429,TUE,11AM-1PM
218,FP,HOLLIS COMMUNITY CHRISTIAN CENTER,718-217-3999,191-22 JAMAICA AVENUE,Queens,11423,SAT,10AM-12PM
219,FP,HOLLIS PRESBYTERIAN CHURCH,718-776-4646,100-50 196TH STREET,Queens,11423,MON,11AM-12PM
220,SK,HOLY APOSTLES SOUP KITCHEN,(212) 924-0167,296 NINTH AVENUE @ 28TH ST.,New York,10001,MON-FRI,10:30AM-12:30PM
221,FP,HOLY CROSS FOOD PANTRY - BROOKLYN,(718) 469-5900,2530 CHURCH AVENUE,Brooklyn,11226,"TUE,THUR",2-3:30PM
222,SK,HOLY GHOST PENTECOSTAL CHURCH,212-369-6354,13-15 EAST 125TH STREET,New York,10035,WED,12-1:30PM
223,FP,"HOLY GHOST UPPER ROOM FILLING STATION MINISTRY, IN",(718) 529-2060,146-17 133RD AVENUE,Queens,11436,SAT,10-11AM
224,FP,HOLY INNOCENTS,718-469-9500,279 EAST 17TH STREET,Brooklyn,11226,WED,9:30-11AM
225,FP,HOLY NAME OF JESUS - ST. GREGORY THE GREAT,(212) 932-8040,207 WEST 96TH STREET,New York,10025,MON,11AM-2:30PM
226,FP,HOLY TABERNACLE CHURCH INC.,(718) 293-9862,3780 THIRD AVENUE,The Bronx,10456,TUE,4:30-5PM
227,SK,HOLY TABERNACLE CHURCH INC.,(718) 293-9862,3780 THIRD AVENUE,The Bronx,10456,TUE,3:30-4:30PM
228,FP,"HOLY TEMPLE CHURCH, INC",347-686-0501,136-25 SPRINGFIELD BLVD,Queens,11413,SAT,11AM-12PM
229,SK,HOPE CENTER DEVELOPMENT CORPORATION,(718) 385-1043,409 EAST 95TH STREET,Brooklyn,11212,"SAT(1,2,3,4)",11AM-1:30PM
230,FP,HOPE CENTER DEVELOPMENT CORPORATION,(718) 385-1043,414 EAST 95TH STREET,Brooklyn,11212,"SAT(1,2,3,4)",11AM-1:30PM
231,SK,HOPE CITY EMPOWERMENT CENTER,718-857-5698,650-656 WASHINGTON AVENUE,Brooklyn,11238,"TUE,THU,F/SAT",12:30-1:30PM/9-11AM
232,FP,HOREB SDA COMMUNITY SERVICES,718-778-7373,520 KINGSTON AVE,Brooklyn,11225,TUE,10-11AM
234,FP,HOUR CHILDREN COMMUNITY OUTREACH,718-482-8226,36-49 11TH STREET (LIC),Queens,11106,MON/TUE/THUR,2-4PM/10:3A-12:3P/3-5PM
235,FP,ICNA FLUSHING FOOD PANTRY,929-329-7986,140-32 CHERRY AVENUE,Queens,11355,WED,12-2PM
236,FP,ICNA RELIEF USA FOOD PANTRY,718-658-2028,273 NEPTUNE AVENUE,Brooklyn,11235,MON,11AM-1PM
237,FP,IGLEStaten IslandA ALIANZA MIStaten IslandONERA EBENEZER,(718) 729-1944,43-02 38TH STREET (L.I.C.),Queens,11101,SAT,11AM-1PM
238,FP,INSPIRATIONAL GOSPEL ASSEMBLY,347-758-6447,1211 BROOK AVENUE,The Bronx,10456,SAT,11AM-1PM
239,FP,INTERNATIONAL PENTECOSTAL CHURCH,212-568-3531,619 WEST 179TH STREET,New York,10033,TUE,12-2PM
240,FP,INTERNATIONAL PENTECOSTAL CITY MISStaten IslandON,(718) 342-9005,9202-14 CHURCH AVE,Brooklyn,11236,SAT,11AM-1PM
241,SK,IRIS HOUSE,646-548-0100,2348 ADAM CLAYTON POWELL JR. BLVD,New York,10030,"TUE,W,THUR,F",1-2PM
242,FP,IRIS HOUSE,646-548-0100,2348 ADAM CLAYTON POWELL JR. BLVD,New York,10030,THUR,2-4PM
243,SK,ISAIAH'S TEMPLE OF MT. HOPE,(718) 277-4038,862 GLENMORE AVE,Brooklyn,11208,"TUE,THUR",2-4PM
244,FP,ISAIAH'S TEMPLE OF MT. HOPE,(718) 277-4038,862 GLENMORE AVE,Brooklyn,11208,THUR,2-4PM
245,FP,J.U.S.T.I.C.E. ORGANIZATION/JESUS IS JUSTICE MISStaten IslandON IN,7.18-772-7951,223 BEACH 28TH STREET (FAR ROCKAWAY),Queens,11691,WED,12-2PM
246,FP,JAMAICA BENEVOLENT ARM & CULTURAL CENTER,646-907-9858,2230 LIGHT STREET,The Bronx,10466,"SAT (2,4)",10AM-12PM
247,FP,JAMAICA HISPANIC SDA CHURCH,718-736-5291,88-28 161 STREET,Queens,11432,SUN,8-9AM
248,FP,JAMAICA SEVENTH DAY ADVENTIST CHURCH,(718) 658-9784,88-28 163 STREET,Queens,11432,SUN,9:30-11:30AM
249,SK,JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH,N21D2 -A2D8V8-O6C74A3CY,9R2O1 GMRAADMISON AVENUE,New York,10021,TUE,5:45-7PM
250,FP,JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH,N(2D1 2A) D2V88O-C67A4C3Y,1R6O1 GERAASMT 104TH STREET,New York,10029,"WED, FRI",9AM - 1PM
251,FP,JESUS IS THE ANSWER - J.I.T.A. COMMUNITY OUTREACH,718-908-6303,103-02 171ST STREET,Queens,11433,"TUE, SAT",3-5PM
252,FPK,JEWISH COMMUNITY CENTER OF STATEN ISLAND,718-475-5242,1466 MANOR ROAD,Staten Island,10314,M-THUR/FRI,10:30A-7/10:30A-12:30P
253,FPK,JEWISH COMMUNITY COUNCIL OF CANARStaten IslandE   #1,718-922-2474,1170 PENNSYLVANIA AVE,Brooklyn,11239,WED,9-11AM
254,FPK,JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY,(718) 792-4744,2157 HOLLAND AVE,The Bronx,10462,"TUE,WED,THUR",12-4PM
255,FPK,JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINS,(L7A18) 327-6060,1525 CENTRAL AVE,Queens,11691,"TUE,THUR",9:30AM - 1:30PM
256,FPK,JEWISH COMMUNITY COUNCIL OF WASHINGTON HGTS,(212) 568-5450,121 BENNETT AVENUE #11A,New York,10033,"TUE,WED,THUR",11AM-1PM
257,FPK,JEWISH INSTITUTE OF QUEENS,718-426-9369,60-05 WOODHAVEN BLVD (ELMHURST),Queens,11373,FRI,10:30AM-12PM
258,FPK,KEHILAT SEPAHRDIM OF AHVAT ACHIM,(718) 591-9574,"150-62 78TH ROAD, FLUSHING",Queens,11367,"MON,WED/SUN",10AM-2PM/10AM-4PM
259,FP,KING EMMANUEL MISStaten IslandONARY BAPTIST CHURCH,(718) 773-1650,207A BAINBRIDGE STREET,Brooklyn,11233,"THUR,FRI",10:30AM-12PM
260,FP,KINGLAWN UNITED PRESBYTERIAN CHURCH,718-241-0736,2368 RALPH AVENUE,Brooklyn,11234,"SAT(2,4)",10-11AM
261,FPK,KINGS BAY Y FOOD PANTRY,718-648-7703,3495 NOSTRAND AVENUE,Brooklyn,11229,MON/FRI,11AM-3PM/11AM-1PM
262,FP,KINGSBOROUGH COMMUNITY COLLEGE,718-368-4660,2001 ORIENTAL BLVD - T4-265,Brooklyn,11235,MON-FRI,10AM-4PM
263,FP,LA JORNADA,917-880-5693,135-32 38TH AVENUE,Queens,11354,SAT,1-3PM
264,FP,LAS MARAVILLAS DEL EXODO,(718) 235-4801,302 ELTON STREET,Brooklyn,11208,WED,11AM-12PM
265,FP,LEVITICUS CHURCH,(718) 322-1095,114-12 VAN WYCK EXPRESSWAY,Queens,11420,WED/SAT,1-2PM/12-1PM
266,FP,LIGHTHOUSE OF HOPE OUTREACH AND RESOURCE CENTE,NONE,66 EAST 96TH STREET,Brooklyn,11212,SAT,10AM-1PM
267,FPK,LILLIAN WALD FOOD PANTRY,212-260-2731,12 AVENUE D,New York,10009,THUR,9:30-11:30AM
268,FP,LINDEN SDA CHURCH COMMUNITY SERVICES,718-527-4072,228-20 137TH AVENUE,Queens,11413,SUN,10AM-12PM
269,FP,LITTLE JERUSALEM HOUSE OF PRAYER,718-922-7446,447 HERZL STREET,Brooklyn,11212,"SAT (2,4)",1-2PM
270,SK,LITTLE ROCK BAPTIST CHURCH INC,718-495-6772,375 BRISTOL STREET,Brooklyn,11212,"TUE,THUR",11:30AM-1PM
271,FP,LITTLE Staten IslandSTERS OF THE ASSUMPTION FAMILY HEALTH SER,6IC46E-672-5200,333 EAST 115TH STREET,New York,10029,"TUE, WED/WED",9:30-11:30AM/1:30-3:30PM
272,FP,LOS REDIMIDOS EN LA SANGRE DE CRISTO,646-408-3909,609 EAST 182ND STREET,The Bronx,10457,WED,1-2PM
274,FP,LOST SHEEP CHRISTIAN CHURCH/FEED MY SHEEP COMMU,3I4T7Y- 2P3A5N-3T7R2Y3,1104 ELDER AVENUE #15,The Bronx,10472,SAT,1:30 - 4:30PM
275,SK,LOYAL BAPTIST CHURCH,(718) 328-3512,881 EAST 167TH STREET,The Bronx,10459,THUR,11AM-3PM
276,FP,MACEDONIA AME CHURCH,(718) 353-5870,106-16 GUY R. BREWER BLVD,Queens,11433,TUE,10-11:30AM
277,SK,MACEDONIA AME CHURCH,(718) 353-5870,106-16 GUY R. BREWER BLVD,Queens,11433,TUE,10-11:30AM
278,FP,MACEDONIA CH. ASSEMBLY OF GOD-BREAD OF LIFE FOOD,(2A1N2T) R4Y10-3412,340 EAST 106TH STREET,New York,10029,FRI,9-10:30AM
279,FP,MAKE THE ROAD NEW YORK,(718) 418-7690,301 GROVE STREET,Brooklyn,11237,FRI,7-10AM
280,FP,MAKE THE ROAD NEW YORK,718-565-8500,92-10 ROOSEVELT AVENUE,Queens,11372,WED,7-10AM
281,FP,MAMRE ENRICHMENT PROGRAM,646-617-8775,1623 UTICA AVENUE,Brooklyn,11234,"WED(3),SUN(1ST)",10AM-12PM
282,SKM,"MANNA OF LIFE MINISTRIES, INC",347-577-5788,1101 BOSTON ROAD,The Bronx,10456,SAT,11AM-1PM
283,FP,"MANNA OF LIFE MINISTRIES, INC",347-577-5788,1101 BOSTON ROAD,The Bronx,10456,"TUE,THU,SAT",11AM-1PM
284,SKK,MASBIA OF FLATBUSH,718-972-4446,1372 CONEY ISLAND AVE,Brooklyn,11230,SUN - THUR,4-7PM
285,FPK,MASBIA OF FLATBUSH,718-972-4446,1372 CONEY ISLAND AVE,Brooklyn,11230,SUN - THUR,4-7PM
286,SKK,MASBIA OF QUEENS,718-534-7321,105-47 64TH ROAD,Queens,11375,MON-THUR&SUN,2-6PM
287,FPK,MASBIA OF QUEENS,718-534-7321,105-47 64TH ROAD,Queens,11375,MON-THUR&SUN,2-6PM
288,FP,MAV MARKET AT MERCY COLLEGE,718-678-8209,1200 WATERS PLACE,The Bronx,10461,M/TH,5-7PM/11AM-5PM
289,FP,MCCNew York CHARITIES,(212) 629-7440,446 WEST 36TH STREET,New York,10018,THUR,8:30-10AM
290,FP,MEDGAR EVERS COLLEGE COUGAR COUNTRY FOOD PANT,7Y18-804-8269,1637 BEDFORD AVENUE - ROOM 317,Brooklyn,11225,"TUE/W,SAT",5-7/10AM-2PM
291,FPK,MEStaten IslandVTHA OF STATEN ISLAND,718-356-5412,1870 DRUMGOOLE ROAD EAST,Staten Island,10309,WED,2:30-3:30PM
292,FPK,METROPOLITAN COUNCIL ON JEWISH POVERTY,718-763-5318,5361 PRESTON COURT,Brooklyn,11234,TUE/THUR,1-3PM/10AM-12PM
293,FP,MINISTRY TOOLS INC,718-529-0005,170-20 140TH AVE,Queens,11434,SAT,12-2PM
294,FPM,MOBILE FOOD PANTRY,646-385-0748,309 DRAKE STREET,The Bronx,10474,TUE-FRI,10AM -12PM
295,FPHA,MOMENTUM PROJECT @ CHURCH OF THE GOD OF PROPH,C71Y8-292-7718,85 EAST 165TH STREET,The Bronx,10452,WED,11AM-1PM&4-6:30PM
296,SKH,MOMENTUM PROJECT @ CHURCH OF THE GOD OF PROPH,C71Y8-292-7718,85 EAST 165TH STREET,The Bronx,10452,WED,11AM-1PM&4-6:30PM
297,FPHA,MOMENTUM PROJECT @ MIDDLE COLLEGIATE CHURCH,718-292-7718,50 EAST 7TH STREET,New York,10003,MON,4-6:30PM
298,FPHA,MOMENTUM PROJECT @ ST. PETER'S CHURCH,718-292-7718,619 LEXINGTON AVENUE,New York,10022,TUE,4-:6:30PM
299,SKH,MOMENTUM PROJECT @ ST. PETER'S CHURCH,718-292-7718,619 LEXINGTON AVENUE,New York,10022,TUE,4-6:30PM
300,SKH,MOMENTUM PROJECT HRC - HARM REDUCTION CENTER,718-292-7718,226 EAST 144TH STREET,The Bronx,10451,FRI,12:30-1:15PM
301,FP,MORE GRACE REDEMPTIVE CENTER,(718) 693-7074,11 WOODS PLACE,Brooklyn,11226,TUE,11AM-1PM
302,FP,MORE THAN CONQUERORS GLOBAL MINISTRIES INC,718-528-3334,153-56 ROCKAWAY BLVD,Queens,11434,SAT,4-6PM
303,FP,MORRIS BROWN HELPING HAND FOOD PROGRAM,(718) 322-7596,145-03 ROCKAWAY BLVD (SO. OZONE PARK),Queens,11436,WED,10AM-12PM
304,SK,MORRIS BROWN HELPING HAND FOOD PROGRAM,(718) 322-7596,145-03 ROCKAWAY BLVD (SO. OZONE PK),Queens,11436,MON,1-2PM
305,FP,MORRISANIA BAPTIST CHURCH,347-918-9934,551 EAST 169TH STREET,The Bronx,10456,"SAT(3,4)",9-11:30AM
306,FP,MORRISANIA REVITALIZATION CORP INC,718-589-7858,576 EAST 165TH STREET,The Bronx,10456,FRI,10AM-12PM
307,FP,MOSHOLU MONTEFIORE COMMUNITY CENTER FP,718-882-4000,3450 DEKALB AVENUE,The Bronx,10467,"TUE(2,4),TH(2,4)",10AM-1PM&3-5PM
308,FP,MOUNT CARMEL WORSHIP AND OUTREACH CENTER,347-627-2226,784 EAST 46TH STREET,Brooklyn,11203,MON,12-2PM
309,FP,MOUNT PISGAH BAPTIST CHURCH,914-882-7383,709 EAST 228TH STREET,The Bronx,10466,"SAT(2,3)",11AM-1PM
310,FP,MOUNT Staten IslandNAI SDA CHURCH,718-465-1784,217-10 93RD AVENUE,Queens,11428,WED,5-7PM
311,FP,MOVEMENT OF PENTECOSTAL CHRISTIAN CHURCH,718-253-1941,90-92 SUMMIT STREET,Brooklyn,11231,SUN,12:30-2PM
313,FP,MT. HEBRON CHURCH OF CHRIST,718-385-8226,167 CHESTER STREET,Brooklyn,11212,SAT,9-10:30AM
314,FP,MT. OLIVET BAPTIST CHURCH COMMUNITY MEAL PROGRA,(212) 864-1155,201 LENOX AVE,New York,10027,"TUE,WED",10:30-11:30AM
315,FP,MT. OLIVET GOSPEL CHURCH,(718) 478-0780,"33-27 97TH STREET, CORONA",Queens,11368,WED,5:30-6:30PM
316,FP,NARROW DOOR I.M.C.,212-567-1052,161 SHERMAN AVENUE,New York,10034,SAT,10AM-12PM
317,SK,NATIONAL COUNCIL OF JEWISH WOMEN,(212) 799-7205,241 WEST 72ND STREET,New York,10023,WED/SUN,5-6PM/11:30AM-12:30PM
318,FP,NATIONAL COUNCIL OF JEWISH WOMEN,(212) 799-7205,241 WEST 72ND STREET,New York,10023,MON,10:30AM-2PM
319,FP,NATIONAL SORORITY OF PHI DELTA KAPPA,718-723-1119,117-08 MERRICK BLVD,Queens,11434,TUE/THUR,11AM-1PM/3:30-5:30PM
320,FPK,NAT'L COMM. FOR FUTH. OF JEWISH ED.(UC),(718) 735-0200,824 EASTERN PARKWAY,Brooklyn,11213,FRI,12-1PM
321,FP,NAZARETH HOUStaten IslandNG INC,212-477-7017,206 EAST 4TH STREET,New York,10009,TUE,10AM-2PM
322,SK,NEIGHBORS TOGETHER,(718) 498-7256,2094 FULTON STREET,Brooklyn,11233,MON-THUR/FRI,12-2PM & 4-6PM/12-2PM
323,FP,"NEW ALTERNATIVE FOR CHILDREN, INC",212-994-7919,37 WEST 26TH STREET - 6TH FLOOR,New York,10010,"MON, TUE",2-5PM
324,FP,NEW CONVENANT COMMUNITY DEVELOPMENT CORP,718-328-6072,1175 BOSTON ROAD,The Bronx,10456,TUE/THUR,4-6PM/10AM-1PM
325,FP,NEW LIFE COMMUNITY DEVELOPMENT CORPORATION,(718) 424-0122,82-10 QUEENS BLVD (ELMHURST),Queens,11373,TUE/SAT,6-8PM/10AM-12PM
326,FP,NEW LIFE SDA CHURCH,718-385-0463,885-87 THOMAS BOYLAND STREET,Brooklyn,11212,SUN/MON/TUE,8-10AM/5-7PM/6-8PM
327,FP,NEW ST. JOHN BAPTIST CHURCH,(718) 220-4148,2409 LORILLARD PLACE,The Bronx,10458,FRI,8-10AM
328,SK,NEW YORK CITY LOVE KITCHEN INC,(212) 942-4204,3816 9TH AVE,New York,10034,MON-FRI,4:30-6:30PM
329,FP,NEW YORK COMMON PANTRY,917-720-9700,8 EAST 109TH STREET,New York,10029,WED-SAT,10AM-2:30PM
330,SK,NEW YORK COMMON PANTRY,917-720-9700,8 EAST 109TH STREET,New York,10029,"M-W/THU&F/M,W,F",8-9:3A/8-9:15A/4:3-6PM
331,FP,NEW YORK COMMON PANTRY - BRONX,917-423-2701,1290 HOE AVENUE,The Bronx,10459,"TH,F,SAT",10AM-2:30PM
332,FP,NEW YORK SCHOOL OF URBAN MINISTRY,(718) 204-6471,31-65 46TH STREET,Queens,11103,FRI,10AM-12PM
333,FP,NEWMAN MEMORIAL UNITED METHODIST CHURCH COMMU,(I7T1Y8 )D 6E2V2E-7L9O5P5M,2N5T7 MCOACROPONR SATTRIOEENT,Brooklyn,11216,TUE,10AM-2PM
334,SK,NEWMAN MEMORIAL UNITED METHODIST CHURCH COMMU,(I7T1Y8 )D 6E2V2E-7L9O5P5M,2N5T7 MCOACROPONR SATTRIOEENT,Brooklyn,11216,TUE,9:30-10:30AM&12-1:30PM
335,FP,NORTHEAST BROOKLYN HOUStaten IslandNG DEVELOPMENT CORPO,A7T18IO-4N53-9490,376 THROOP AVENUE,Brooklyn,11221,"TUE,THUR",10AM-12PM
336,FP,NORTHEAST CONFERENCE COMMUNITY CENTER SDA,347-527-2444,99-13 NORTHERN BLVD,Queens,11368,TUE/WED(SR ONLY),12-1PM
337,FP,ONE WAY CHURCH OF CHRIST,(718) 525-4260,216-11 MERRICK BLVD.,Queens,11413,SAT,11AM-1PM
338,FPK,ONEG SHABBOS,(718) 686-8174,1601 41ST STREET,Brooklyn,11218,THUR,6-9PM
339,FP,OPEN DOOR TO HEAVEN OUTREACH MINISTRY INC,347-822-0714,474 SHEPHERD AVENUE,Brooklyn,11208,"SAT (1,3)",12:30-1:30PM
340,SK,OPIN (OTHER PEOPLE IN NEED),(718) 498-8845,1768 ST. JOHNS PLACE,Brooklyn,11233,WED,7-9PM
341,FP,OUR LADY OF ANGELS HUMAN SERVICES,(718) 680-6344,336 73RD STREET,Brooklyn,11209,WED,10AM-12PM&1:30-2:30PM
342,FP,OUR LADY OF GOOD COUNSEL CHURCH (STATEN ISLAND),718-447-1503,42 AUSTIN PLACE,Staten Island,10304,SAT,10-11AM
343,FP,OUR LADY OF GRACE MINISTRY,718-845-6635,158-10 101ST ST.- HOWARD BEACH,Queens,11414,"TUE,THUR",10AM-1PM
344,FP,OUR LADY OF GRACE PARISH MINISTRY,718-645-2120,2322 EAST 4TH STREET,Brooklyn,11223,MON-FRI,9-11:30AM
345,SKM,OUR LADY OF GRACE PARISH MINISTRY,718-645-2120,2322 EAST 4TH STREET,Brooklyn,11223,WED/FRI,12-12:30PM/9-11:30AM
346,FP,OUR LADY OF MERCY CHURCH,(718) 346-3166,680 MOTHER GASTON BLVD.,Brooklyn,11212,"MON,FRI",9-11AM
347,FP,OUR LADY OF MIRACLES-CANARStaten IslandE CLUSTER CENTER,718-257-2400,757 EAST 86TH STREET,Brooklyn,11236,SAT,10-11:30AM
348,FP,OUR LADY OF REFUGE,(718) 367-4690,290 EAST 196TH STREET,The Bronx,10458,WED,9-10AM
349,FP,OUR LADY OF REFUGE R.C. CHURCH,(718) 434-2090,2020 FOSTER AVE.,Brooklyn,11210,WED,10AM - 1PM
350,FP,OUR LADY OF SORROWS,(212) 673-0900,213 STANTON STREET,New York,10002,"TUE,THUR",9:30-10:30AM
352,SK,"PARK SLOPE CHRISTIAN HELP, INC",(718) 237-2962,200 4TH AVENUE,Brooklyn,11217,MON-THUR/SAT,11:30AM-1PM/11:30AM-2PM
353,FP,PART OF THE SOLUTION,(718) 220-4892,2759 WEBSTER AVENUE,The Bronx,10458,MON-SAT,9AM-12PM
354,SK,PART OF THE SOLUTION (P.O.T.S.),(718) 220-4892,2759 WEBSTER AVENUE,The Bronx,10458,MON-SUN,12:30-3:30PM
355,SK,PATHHSEO INC,718-842-2484,1288 REV. JAMES A. POLITE,The Bronx,10459,SAT,12-2PM
356,FP,PENIEL HAITIAN CHURCH OF C AND MA,718-469-3685,2741 ALBEMARLE ROAD,Brooklyn,11226,SAT/SAT(2ND),10AM-12PM/1-3PM
357,FP,PENIEL SDA CHURCH,347-933-7760,1210 UTICA AVENUE,Brooklyn,11203,FRI,10AM-12PM
358,FP,POMONOK FOOD PANTRY,718-591-6060,67-09 KISSENA BLVD,Queens,11367,THUR,12-1PM
359,FP,"POWER PRAISE AND DELIVERANCE, INC",347-409-0288,120 EAST 184TH STREET,The Bronx,10468,FRI,12-4PM
360,FP,PRESBYTERIAN CHURCH OF THE CROSSROADS,718-235-9843,133 ELTON STREET,Brooklyn,11208,"WED (1,2,3,4)",9-10AM
361,FP,PRODIGAL CENTER,718-644-8523,709 TIFFANew York STREET,The Bronx,10474,"TUE,THUR",11AM-3PM
362,FP,PROJECT CREATE - ANTHONew York HOUSE,212-663-1975,73 LENOX AVE,New York,10026,WED,9AM-12PM
363,FP,"PROJECT HOSPITALITY, INC.",(718) 815-0800,514 BAY STREET,Staten Island,10304,"TUE, THUR",9-11AM&1-3PM/9-11AM
364,SK,"PROJECT HOSPITALITY, INC.",(718) 815-0800,514 BAY STREET,Staten Island,10304,"TUE, THUR",12-1PM
365,FPK,PROJECT L.E.A.D.,718-495-6210,85-12 126TH STREET (KEW GARDENS),Queens,11415,SUN,7:30-9:30AM
366,FP,QUEENSBORO TEMPLE SDA CHURCH,718-776-8538,96-50 222ND STREET,Queens,11429,WED(2ND&4TH),3-6PM
367,FP,RAUSCHENBUSCH METRO MINISTRIES INC.,(212) 594-4464,410 WEST 40TH STREET,New York,10018,"SAT(1,2,3,4)",11-11:30AM
368,FP,REACHING-OUT COMMUNITY SERVICES INC,(718) 373-4565,7708 NEW UTRECHT AVE,Brooklyn,11214,MON-FRI,10AM-5PM
369,FP,REDEEMED CHRISTIAN CHURCH OF GOD,718-293-8996,1001-1005 MORRIS AVENUE,The Bronx,10456,TUE,4-6PM
370,FP,REDEEMED CHRISTIAN CHURCH OF GOD INTERNATIONAL,H34A7P-E95L5-4403,781 EAST 93RD STREET,Brooklyn,11236,SAT,1-3PM
371,FP,"RESCUE MINISTRY\MINISTERIO RESCATE, INC.",718-448-4454,2083 RICHMOND TERRACE,Staten Island,10302,TUE,11:30AM-1PM
